,0
520,164932.76526666668
521,134994.42573333334
522,94345.33506666667
523,75907.17276666668
524,94988.06926666664
525,74727.53028333334
526,50299.60708333334
527,41419.686183333324
528,40853.62626666667
529,27535.410916666675
530,27070.743266666665
531,28103.270316666658
532,28958.734916666665
533,31819.400766666673
534,33714.11796666667
535,46557.68008333337
536,86654.97069999996
537,119493.45305000004
538,179935.30491666673
539,216602.40656666656
540,200383.95318333327
541,172875.3525333334
542,148055.98138333333
543,157717.28063333346
544,162962.55731666673
545,138578.91309999998
546,76346.39176666667
547,74636.6308
548,99382.27521666668
549,71357.61541666667
550,49294.91885000001
551,48543.10560000002
552,35030.30485
553,27020.543150000023
554,27124.04139999999
555,28031.621483333347
556,27878.33281666667
557,36863.74876666666
558,42899.25656666666
559,58489.43596666667
560,90683.01363333335
561,130207.02090000002
562,174292.7615166666
563,219520.80821666683
564,187235.60338333342
565,152530.4419833333
566,140935.12681666663
567,155088.07563333324
568,152361.92034999994
569,130500.21543333332
570,81221.18941666668
571,72222.14478333332
572,99577.4615
573,66953.76156666668
574,48666.17490000001
575,45394.57963333333
576,37395.7892
577,29666.540650000014
578,30813.223999999987
579,31289.173533333338
580,31005.704083333334
581,29292.23416666668
582,32192.56228333333
583,49975.93428333334
584,87237.59615000003
585,113819.35103333333
586,170122.75531666676
587,200890.45331666662
588,192658.41771666665
589,140095.0727166667
590,128258.63878333334
591,143463.73650000006
592,148667.4851833333
593,115363.80876666667
594,81939.17166666669
595,74158.12621666667
596,90338.19520000003
597,73843.33728333334
598,50069.747316666675
599,43612.04301666668
600,32778.61688333334
601,28625.50626666666
602,28997.788616666665
603,31843.369566666675
604,27270.867349999997
605,29138.083850000003
606,37848.83428333332
607,54279.94354999998
608,93423.38214999998
609,119822.77176666669
610,159009.70298333335
611,190688.3529000001
612,186200.2807333334
613,141661.82603333335
614,124781.94496666669
615,135951.18488333336
616,141237.0065166667
617,106160.77589999998
618,73575.74033333334
619,70798.55783333333
620,84996.52559999998
621,70236.79250000003
622,54394.823983333335
623,51669.85638333333
624,44401.416816666686
625,24562.839216666664
626,27251.875483333344
627,28190.090699999997
628,27702.17656666665
629,28898.760533333338
630,29857.380733333346
631,37609.54948333332
632,41545.25016666666
