,0
240,36421.95256666669
241,27883.75211666669
242,29607.58473333333
243,31044.168950000036
244,26920.75393333331
245,26888.503216666686
246,27645.505533333337
247,35656.426550000004
248,75153.28014999998
249,112919.68388333335
250,137905.10341666668
251,149908.46663333333
252,142082.52908333333
253,96920.84965000002
254,75318.09681666663
255,84922.51791666666
256,98936.48730000001
257,104712.45288333339
258,75397.37626666662
259,50686.957800000026
260,57391.34151666668
261,54801.33903333333
262,51630.57146666672
263,50464.83686666668
264,46694.73693333334
265,28587.252433333357
266,28726.00213333335
267,27815.170216666655
268,28895.419200000015
269,30193.00413333331
270,37507.75476666669
271,46924.326949999995
272,93375.72171666661
273,127441.46578333335
274,148679.62033333335
275,156078.50045000005
276,133586.03328333335
277,85872.06779999999
278,72222.33233333334
279,81048.19156666666
280,92580.44344999999
281,85829.51043333337
282,62466.47958333327
283,58340.47170000003
284,59698.80719999997
285,51664.57385000005
286,49028.00535000001
287,38268.838266666644
288,32964.30385
289,24597.8363
290,25369.91755
291,27781.167983333344
292,25657.418433333354
293,26943.501266666666
294,32781.58448333332
295,29001.752916666646
296,42567.7212166667
297,49872.37123333333
298,49157.805983333375
299,49049.4239
300,55909.10671666667
301,46258.48736666668
302,47492.87041666669
303,48422.79023333333
304,54080.790366666675
305,49413.00625000003
306,44298.056050000014
307,43889.502233333355
308,45919.33568333334
309,46624.08575000002
310,45896.92001666669
311,46877.670916666735
312,43094.1701
313,24854.168816666675
314,25762.751400000005
315,26647.669016666685
316,28039.335500000027
317,27697.002350000028
318,34087.83563333337
319,37500.000883333334
320,41089.169150000016
321,46443.93801666666
322,52227.9076333333
323,56679.87548333336
324,49364.94174999998
325,48424.988983333344
326,47986.92035000002
327,51895.821683333364
328,52909.94145
329,47447.10578333333
330,44658.82203333337
331,49051.98611666666
332,46964.368683333356
333,46048.08595000005
334,47376.66943333336
335,46011.05366666669
336,38900.152800000025
337,26820.50435000002
338,27944.586650000005
339,27076.16981666668
340,26961.920583333307
341,27357.920400000006
342,30772.420449999998
343,51063.76101666666
344,92673.63491666663
345,118255.06504999996
346,149472.25083333332
347,165309.07801666667
348,130013.51255000009
349,86847.71984999998
350,72874.04324999997
351,76630.40458333334
352,83165.02308333338
353,88202.64225000003
354,72876.59345000004
355,53516.757683333344
356,56557.00638333337
357,53104.988866666696
358,49786.77120000005
359,48122.92083333338
360,42788.02061666667
361,26167.587450000006
362,27108.669733333336
363,27797.670333333313
364,28317.0038
365,29554.418933333345
366,28323.837916666664
367,42376.25903333334
368,96318.28536666663
369,115076.86688333329
370,143364.75394999995
371,149189.82201666659
372,127472.1964333333
373,90397.20434999999
374,77680.09628333335
375,87234.65443333334
376,107588.17113333332
377,93485.32301666673
378,70464.09531666669
379,58988.00715000004
380,61473.790183333316
381,60489.53846666669
382,57403.98736666668
383,51321.86976666668
384,35479.502566666684
385,29088.08723333335
386,30188.50258333336
387,28385.003283333343
388,30387.085349999994
389,30895.668316666695
390,37649.16983333334
391,63445.55786666668
392,87645.51800000001
393,127419.43451666665
394,157231.44588333328
395,157608.90553333334
396,136270.3305166667
397,93597.38880000003
398,70498.13088333332
399,81595.40828333331
400,99260.39175000002
401,86644.77593333335
402,67321.3127666667
403,64743.35539999996
404,62936.65861666666
405,60636.34055000005
406,47410.10376666668
407,45491.98685000002
408,34354.4198
409,27567.00320000002
410,26671.168449999994
411,28038.335433333352
412,28857.335416666676
413,29478.33521666668
414,34830.33911666668
415,69963.01094999998
416,92586.93078333332
417,109620.83211666664
418,135491.0281833333
419,158637.14446666656
420,127928.82709999995
421,89507.85003333335
